ref,state,constituency,won status,votes,(votes),Name,Party Name
1357,Assam,Nagaon(9),lost,5069,( -783781),SAMSUL ALAM,Independent
1358,Assam,Nagaon(9),lost,4885,( -783965),BIPAD BHANJAN SARKAR,Independent
1359,Assam,Nagaon(9),lost,4319,( -784531),ANUPAM BARUAH,Jai Prakash Janata Dal
1360,Assam,Nagaon(9),lost,3627,( -785223),NIKHIL DEKARAJA,Independent
1361,Assam,Nagaon(9),lost,2559,( -786291),RABBUL HAQUE,Rashtriya Ulama Council
1362,Assam,Nagaon(9),lost,2238,( -786612),ABU SHAMA,Independent
1363,Assam,Nagaon(9),lost,2030,( -786820),ABU EUSUF MD RAIHAN UDDIN,Independent
1364,Assam,Nagaon(9),lost,2010,( -786840),SANTANU MUKHERJEE,Bharatiya Gana Parishad
1365,Assam,Nagaon(9),lost,1837,( -787013),SAIFUL ISLAM CHOUDHURY,Asom Jana Morcha
1366,Assam,Nagaon(9),,11995,( -776855),NOTA,None of the Above
1367,Assam,Dhubri (2),won,1471885,(+ 1012476),RAKIBUL HUSSAIN,Indian National Congress
1368,Assam,Dhubri (2),lost,459409,( -1012476),MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front
1369,Assam,Dhubri (2),lost,438594,( -1033291),ZABED ISLAM,Asom Gana Parishad
1370,Assam,Dhubri (2),lost,12106,( -1459779),S. M. JIAUL HAQUE,Bharatiya Gana Parishad
1371,Assam,Dhubri (2),lost,10994,( -1460891),FARUK KHAN,Independent
1372,Assam,Dhubri (2),lost,7703,( -1464182),BISWAJIT RAY,Independent
1373,Assam,Dhubri (2),lost,6990,( -1464895),ALAKESH ROY,Independent
1374,Assam,Dhubri (2),lost,6940,( -1464945),HAFIZ BURHANUDDIN,The National Road Map Party of India
1375,Assam,Dhubri (2),lost,6287,( -1465598),RADHARANI BISWAS,Hindu Samaj Party
1376,Assam,Dhubri (2),lost,5392,( -1466493),TAHIDUR RAHMAN,Voters Party  International
1377,Assam,Dhubri (2),lost,4792,( -1467093),SHUKUR ALI,Asom Jana Morcha
1378,Assam,Dhubri (2),lost,4015,( -1467870),SURAT ZAMAN MONDAL,Socialist Unity Centre Of India (COMMUNIST)
1379,Assam,Dhubri (2),lost,3486,( -1468399),REJAUL KARIM,Republican Party of India (Athawale)
1380,Assam,Dhubri (2),,15015,( -1456870),NOTA,None of the Above
1381,Andhra Pradesh,Nellore(22),won,766202,(+ 245902),PRABHAKAR REDDY VEMIREDDY,Telugu Desam
1382,Andhra Pradesh,Nellore(22),lost,520300,( -245902),VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party
1383,Andhra Pradesh,Nellore(22),lost,54844,( -711358),KOPPULA RAJU,Indian National Congress
1384,Andhra Pradesh,Nellore(22),lost,5811,( -760391),BHASKAR NASINA,Bahujan Samaj Party
1385,Andhra Pradesh,Nellore(22),lost,2804,( -763398),VIVEKA MANNEPALLI,Revolutionary Socialist Party
1386,Andhra Pradesh,Nellore(22),lost,2015,( -764187),KOPPALA RAGHU,Independent
1387,Andhra Pradesh,Nellore(22),lost,1779,( -764423),GAJULA SOMA SEKHAR,Jai Bharat National Party
1388,Andhra Pradesh,Nellore(22),lost,1330,( -764872),SHAIK MUZIBUR RAHAMAN,Pyramid Party of India
1389,Andhra Pradesh,Nellore(22),lost,1233,( -764969),SHAIK MAHABOOB BASHA (MABU),Republican Party of India (A)
1390,Andhra Pradesh,Nellore(22),lost,1105,( -765097),MALLEPALLY RAGHU,Navarang Congress Party
1391,Andhra Pradesh,Nellore(22),lost,1037,( -765165),SHAIK SHAFI AHMED,All India Forward Bloc
1392,Andhra Pradesh,Nellore(22),lost,600,( -765602),NAKKA DINESH,Bharatha Chaitanya Yuvajana Party
1393,Andhra Pradesh,Nellore(22),lost,558,( -765644),TALARI VENKATAIAH,Jaibhim Rao Bharat Party
1394,Andhra Pradesh,Nellore(22),lost,454,( -765748),PUNGANURU PRASANNA GANAPATHI,Radical Party of India (Ambedkarist)
1395,Andhra Pradesh,Nellore(22),,15577,( -750625),NOTA,None of the Above
1396,Andhra Pradesh,Hindupur(20),won,725534,(+ 132427),B K PARTHASARATHI,Telugu Desam
1397,Andhra Pradesh,Hindupur(20),lost,593107,( -132427),J SHANTHA,Yuvajana Sramika Rythu Congress Party
1398,Andhra Pradesh,Hindupur(20),lost,55059,( -670475),B A SAMAD SHAHEEN,Indian National Congress
1399,Andhra Pradesh,Hindupur(20),lost,8015,( -717519),BHAGYA R S,Bahujan Samaj Party
1400,Andhra Pradesh,Hindupur(20),lost,5444,( -720090),PRATHAP REDDY GORLA,Independent
1401,Andhra Pradesh,Hindupur(20),lost,2278,( -723256),H D HANUMANTHE GOWD,Independent
1402,Andhra Pradesh,Hindupur(20),lost,2051,( -723483),ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party
1403,Andhra Pradesh,Hindupur(20),lost,1631,( -723903),S N SURESH,Independent
1404,Andhra Pradesh,Hindupur(20),lost,1328,( -724206),DASAGANIPALLI KULLAYAPPA,Independent
1405,Andhra Pradesh,Hindupur(20),lost,1292,( -724242),ASHOK,Socialist Unity Centre Of India (COMMUNIST)
1406,Andhra Pradesh,Hindupur(20),lost,1237,( -724297),T SUDHAKAR REDDY,Independent
1407,Andhra Pradesh,Hindupur(20),lost,710,( -724824),S RAGHUNATHA REDDY,Independent
1408,Andhra Pradesh,Hindupur(20),lost,682,( -724852),BUDILI DHANUNJAYA,National Nava Kranthi Party
1409,Andhra Pradesh,Hindupur(20),,17971,( -707563),NOTA,None of the Above
1410,Andhra Pradesh,Ananthapur(19),won,768245,(+ 188555),AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam
1411,Andhra Pradesh,Ananthapur(19),lost,579690,( -188555),MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party
1412,Andhra Pradesh,Ananthapur(19),lost,43217,( -725028),MALLIKARJUNA VAJJALA,Indian National Congress
1413,Andhra Pradesh,Ananthapur(19),lost,6439,( -761806),G.V.RAMANA REDDY,Independent
1414,Andhra Pradesh,Ananthapur(19),lost,6396,( -761849),BANASI NARAYANAPPA,Bahujan Samaj Party
1415,Andhra Pradesh,Ananthapur(19),lost,5778,( -762467),V.MURALI PRASAD REDDY,Independent
1416,Andhra Pradesh,Ananthapur(19),lost,4989,( -763256),DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi
1417,Andhra Pradesh,Ananthapur(19),lost,2935,( -765310),M.SURENDRA,Pyramid Party of India
1418,Andhra Pradesh,Ananthapur(19),lost,2540,( -765705),U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party
1419,Andhra Pradesh,Ananthapur(19),lost,1518,( -766727),P.CHOWDESWARI,Independent
1420,Andhra Pradesh,Ananthapur(19),lost,1494,( -766751),VADLA KESAVAIAH,Independent
1421,Andhra Pradesh,Ananthapur(19),lost,1318,( -766927),B.RAGHAVENDRA PRASAD,Independent
1422,Andhra Pradesh,Ananthapur(19),lost,1091,( -767154),LOKANATH GOWD SURAGOWINI,Independent
1423,Andhra Pradesh,Ananthapur(19),lost,1091,( -767154),KETHIREDDY RAGHUNATHAREDDY,Independent
1424,Andhra Pradesh,Ananthapur(19),lost,904,( -767341),SREERANGARAJULA GOPINATH ROYAL,Independent
1425,Andhra Pradesh,Ananthapur(19),lost,753,( -767492),SHAIK.NIZAM,Samajwadi Party
1426,Andhra Pradesh,Ananthapur(19),lost,745,( -767500),RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party
1427,Andhra Pradesh,Ananthapur(19),lost,578,( -767667),KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party
1428,Andhra Pradesh,Ananthapur(19),lost,570,( -767675),B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST)
1429,Andhra Pradesh,Ananthapur(19),lost,494,( -767751),SRINIVASA RAJU.O,Bhartiya Panchyat Party
1430,Andhra Pradesh,Ananthapur(19),lost,444,( -767801),DURGA PRASAD D BYATARAYANAJI,Challengers Party
1431,Andhra Pradesh,Ananthapur(19),,9199,( -759046),NOTA,None of the Above
1432,Andhra Pradesh,Kurnoolu(18),won,658914,(+ 111298),BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam
1433,Andhra Pradesh,Kurnoolu(18),lost,547616,( -111298),B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party
1434,Andhra Pradesh,Kurnoolu(18),lost,70373,( -588541),P.G.RAMPULLAIAH YADAV LUCKY-2,Indian National Congress
1435,Andhra Pradesh,Kurnoolu(18),lost,8589,( -650325),MANCHALA LAKSHMI NARAYANA,Bahujan Samaj Party
1436,Andhra Pradesh,Kurnoolu(18),lost,5900,( -653014),BOYA SURESH,Independent
1437,Andhra Pradesh,Kurnoolu(18),lost,5127,( -653787),T. BEECHUPALLI,Independent
1438,Andhra Pradesh,Kurnoolu(18),lost,3508,( -655406),VIJAYA BHASKAR .REDDYPOGU,Independent
1439,Andhra Pradesh,Kurnoolu(18),lost,3076,( -655838),PAGADALA KODANDA,Independent
1440,Andhra Pradesh,Kurnoolu(18),lost,2582,( -656332),DEVARAPOGU MADDILETY,Independent
1441,Andhra Pradesh,Kurnoolu(18),lost,2225,( -656689),PRAKASH REDDY RALAMPADU,Independent
1442,Andhra Pradesh,Kurnoolu(18),lost,2074,( -656840),JAHANGIR AHMED,Social Democratic Party Of India
1443,Andhra Pradesh,Kurnoolu(18),lost,1856,( -657058),DR. REDDYPOGU PRAVEEN KUMAR,Independent
1444,Andhra Pradesh,Kurnoolu(18),lost,1601,( -657313),ABDUL SATTAR  A.S.R,Anna YSR Congress Party
1445,Andhra Pradesh,Kurnoolu(18),lost,1390,( -657524),VALMIKI ARJUNA,Bharatha Chaitanya Yuvajana Party
1446,Andhra Pradesh,Kurnoolu(18),lost,1295,( -657619),URUKUNDU VADDE,Independent
1447,Andhra Pradesh,Kurnoolu(18),lost,1164,( -657750),MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST)
1448,Andhra Pradesh,Kurnoolu(18),lost,1163,( -657751),SUNKARA SREEDHAR,Jai Bharat National Party
1449,Andhra Pradesh,Kurnoolu(18),lost,1033,( -657881),TARIGOPULA RAJABABU,All Peoples Party
1450,Andhra Pradesh,Kurnoolu(18),lost,783,( -658131),AMRUTH KUMAR SALKAPURAM,Liberation Congress Party
1451,Andhra Pradesh,Kurnoolu(18),,10511,( -648403),NOTA,None of the Above
1452,Andhra Pradesh,Nandyal(17),won,701131,(+ 111975),DR BYREDDY SHABARI,Telugu Desam
1453,Andhra Pradesh,Nandyal(17),lost,589156,( -111975),POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party
1454,Andhra Pradesh,Nandyal(17),lost,56204,( -644927),J LAKSHMI NARASIMHA YADAV,Indian National Congress
1455,Andhra Pradesh,Nandyal(17),lost,8191,( -692940),P GURUVAIAH,Independent
1456,Andhra Pradesh,Nandyal(17),lost,7831,( -693300),A CHINNA MOULALI,Bahujan Samaj Party
1457,Andhra Pradesh,Nandyal(17),lost,6932,( -694199),HAFIZ ATAULLAH KHAN,Social Democratic Party Of India
1458,Andhra Pradesh,Nandyal(17),lost,4633,( -696498),KOMMUSANI PEDDA KAMBAGIRI SWAMY,Independent
1459,Andhra Pradesh,Nandyal(17),lost,3031,( -698100),GAGGERA VENKATA RAMANAIAH,Independent
1460,Andhra Pradesh,Nandyal(17),lost,2358,( -698773),DUMAVATH SWAMY NAIK,Independent
1461,Andhra Pradesh,Nandyal(17),lost,1413,( -699718),KUNUKUNTLA RAMUDU,Independent
1462,Andhra Pradesh,Nandyal(17),lost,1334,( -699797),E ANIL KUMAR,Independent
1463,Andhra Pradesh,Nandyal(17),lost,1272,( -699859),BRAHMANANDA REDDY K,Independent
1464,Andhra Pradesh,Nandyal(17),lost,1268,( -699863),C SURENDRA NATHA REDDY,Independent
1465,Andhra Pradesh,Nandyal(17),lost,791,( -700340),UPPU SUBBARAYUDU,Jaathia Chethi Vruthula Ikya Vedika Party
1466,Andhra Pradesh,Nandyal(17),lost,680,( -700451),NAGESWARA RAO,Independent
1467,Andhra Pradesh,Nandyal(17),lost,646,( -700485),BHUMA VEERA BHADRA REDDY,Navarang Congress Party
1468,Andhra Pradesh,Nandyal(17),lost,642,( -700489),YELAMPALLE GOVARDHAN REDDY,All India Forward Bloc
1469,Andhra Pradesh,Nandyal(17),lost,641,( -700490),VIJAYA BHASKAR REDDYPOGU,Independent
1470,Andhra Pradesh,Nandyal(17),lost,605,( -700526),PANDU RANGA YADAV SIDDAPU,Samajwadi Party
1471,Andhra Pradesh,Nandyal(17),lost,556,( -700575),CHANDINI REDDY VAKATI,Liberation Congress Party
1472,Andhra Pradesh,Nandyal(17),lost,486,( -700645),GAJULA SHALIMIYA,Anna YSR Congress Party
1473,Andhra Pradesh,Nandyal(17),lost,472,( -700659),B C RAMANADHA AREDDY,Independent
1474,Andhra Pradesh,Nandyal(17),lost,430,( -700701),KULURU RAMA KRISHNA REDDY,Neethi Nijayithi Party
1475,Andhra Pradesh,Nandyal(17),lost,421,( -700710),CH P MALLESWARUDU,Independent
1476,Andhra Pradesh,Nandyal(17),lost,410,( -700721),I V PAKKIR REDDY,Independent
1477,Andhra Pradesh,Nandyal(17),lost,401,( -700730),V MADHUSUDHANA REDDY,Independent
1478,Andhra Pradesh,Nandyal(17),lost,390,( -700741),BUSHAKU MAHESWARA REDDY,Independent
1479,Andhra Pradesh,Nandyal(17),lost,379,( -700752),GOGULA SUGUNAMMA,Jai Maha Bharath Party
1480,Andhra Pradesh,Nandyal(17),lost,376,( -700755),U P MUNI REDDY,Independent
1481,Andhra Pradesh,Nandyal(17),lost,353,( -700778),BELLAMKONDA SREENIVASULU,Independent
1482,Andhra Pradesh,Nandyal(17),lost,288,( -700843),BALIJA SHIVA KUMAR,Independent
1483,Andhra Pradesh,Nandyal(17),,10697,( -690434),NOTA,None of the Above
1484,Andhra Pradesh,Ongole(16),won,701894,(+ 50199),MAGUNTA SREENIVASULU REDDY,Telugu Desam
1485,Andhra Pradesh,Ongole(16),lost,651695,( -50199),DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party
1486,Andhra Pradesh,Ongole(16),lost,26722,( -675172),EDA SUDHAKARA REDDY,Indian National Congress
1487,Andhra Pradesh,Ongole(16),lost,6314,( -695580),DHARANIKOTA LAKSHMI NARAYANA,Bahujan Samaj Party
1488,Andhra Pradesh,Ongole(16),lost,3073,( -698821),PODILI RAMBABU,Independent
1489,Andhra Pradesh,Ongole(16),lost,3048,( -698846),BUCHI EDUKONDALU,Independent
1490,Andhra Pradesh,Ongole(16),lost,2267,( -699627),ORSU VEENA,Jai Bharat National Party
1491,Andhra Pradesh,Ongole(16),lost,1923,( -699971),BONTHA RANGA REDDY,Independent
1492,Andhra Pradesh,Ongole(16),lost,1798,( -700096),BODDU KRANTHI KUMAR,Independent
1493,Andhra Pradesh,Ongole(16),lost,1447,( -700447),MOHAN GOUD J V,Independent
1494,Andhra Pradesh,Ongole(16),lost,1008,( -700886),U MADHU BABU,Independent
1495,Andhra Pradesh,Ongole(16),lost,743,( -701151),PASAM VENKATESWARLU YADAV,Samajwadi Party
1496,Andhra Pradesh,Ongole(16),lost,735,( -701159),KARATAPU RAJU,Independent
1497,Andhra Pradesh,Ongole(16),lost,725,( -701169),JAGADEESH RAYAPATI,Independent
1498,Andhra Pradesh,Ongole(16),lost,716,( -701178),DEVIREDDY BALANJANEYULU,Independent
1499,Andhra Pradesh,Ongole(16),lost,711,( -701183),HARI PRASAD TUPAKULA,Independent
1500,Andhra Pradesh,Ongole(16),lost,683,( -701211),SURYA TEJA KOTA,Pyramid Party of India
1501,Andhra Pradesh,Ongole(16),lost,575,( -701319),AKUMALLA MALLIKARJUNA REDDY,Independent
1502,Andhra Pradesh,Ongole(16),lost,461,( -701433),VESHAPOGU GURAVABABU,Independent
1503,Andhra Pradesh,Ongole(16),lost,461,( -701433),KOMMU YOHANU,Liberation Congress Party
1504,Andhra Pradesh,Ongole(16),lost,449,( -701445),SESHUBABU GUDDANTI,Independent
1505,Andhra Pradesh,Ongole(16),lost,410,( -701484),SINGAMNENI SREEKANTH,Independent
1506,Andhra Pradesh,Ongole(16),lost,394,( -701500),YARRA DASARADHARAMAIAH,Independent
1507,Andhra Pradesh,Ongole(16),lost,392,( -701502),K PAVAN KALYAN,Jatiya Jana Sena Party
1508,Andhra Pradesh,Ongole(16),lost,365,( -701529),KOTA VAMSI KRISHNA,Independent
1509,Andhra Pradesh,Ongole(16),,13205,( -688689),NOTA,None of the Above
1510,Andhra Pradesh,Bapatla (SC)(15),won,717493,(+ 208031),KRISHNA PRASAD TENNETI,Telugu Desam
1511,Andhra Pradesh,Bapatla (SC)(15),lost,509462,( -208031),NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party
1512,Andhra Pradesh,Bapatla (SC)(15),lost,43259,( -674234),J.D. SEELAM,Indian National Congress
1513,Andhra Pradesh,Bapatla (SC)(15),lost,6857,( -710636),DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party
1514,Andhra Pradesh,Bapatla (SC)(15),lost,2964,( -714529),NALAMALA TIRUPATI RAO,Navataram Party
1515,Andhra Pradesh,Bapatla (SC)(15),lost,1318,( -716175),BUSSA. NAGARAJU,Independent
1516,Andhra Pradesh,Bapatla (SC)(15),lost,1051,( -716442),GADDE. VIJAYA LAKSHMI,Independent
1517,Andhra Pradesh,Bapatla (SC)(15),lost,897,( -716596),KATTAPOGU. VIJAY KUMAR,Pyramid Party of India
1518,Andhra Pradesh,Bapatla (SC)(15),lost,797,( -716696),KONDRU KIRAN KUMAR,Independent
1519,Andhra Pradesh,Bapatla (SC)(15),lost,729,( -716764),KATTA ANAND BABU,Independent
1520,Andhra Pradesh,Bapatla (SC)(15),lost,673,( -716820),MERUGUPALA SADASIVA RAO,India Praja Bandhu Party
1521,Andhra Pradesh,Bapatla (SC)(15),lost,549,( -716944),KATTA HEMANAND,Independent
1522,Andhra Pradesh,Bapatla (SC)(15),lost,412,( -717081),PARRE. KOTAIAH,Jaibhim Rao Bharat Party
1523,Andhra Pradesh,Bapatla (SC)(15),lost,306,( -717187),PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party
1524,Andhra Pradesh,Bapatla (SC)(15),lost,255,( -717238),CHINNAM MURALIDHAR,All Peoples Party
1525,Andhra Pradesh,Bapatla (SC)(15),,13723,( -703770),NOTA,None of the Above
1526,Andhra Pradesh,Narsaraopet(14),won,807996,(+ 159729),LAVU SRIKRISHNA DEVARAYALU,Telugu Desam
1527,Andhra Pradesh,Narsaraopet(14),lost,648267,( -159729),ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party
1528,Andhra Pradesh,Narsaraopet(14),lost,18046,( -789950),GARNEPUDI ALEXANDER SUDHAKAR,Indian National Congress
1529,Andhra Pradesh,Narsaraopet(14),lost,5309,( -802687),ORSU PREMARAJU,Bahujan Samaj Party
1530,Andhra Pradesh,Narsaraopet(14),lost,2336,( -805660),KUCHIPUDI JOHN BABU,Jaibhim Rao Bharat Party
1531,Andhra Pradesh,Narsaraopet(14),lost,1245,( -806751),GARLAPATI SUBHASH PREM,Revolutionary Socialist Party
1532,Andhra Pradesh,Narsaraopet(14),lost,1057,( -806939),YAMPATI VEERANJANEYA REDDY,Independent
1533,Andhra Pradesh,Narsaraopet(14),lost,1051,( -806945),SUBBARAO CHALLA,Independent
1534,Andhra Pradesh,Narsaraopet(14),lost,723,( -807273),ABDUL RAJAK SHAIK,Independent
1535,Andhra Pradesh,Narsaraopet(14),lost,670,( -807326),KOTA POTHURAJU,Pyramid Party of India
1536,Andhra Pradesh,Narsaraopet(14),lost,388,( -807608),P VENKATESH,Jaathia Chethi Vruthula Ikya Vedika Party
1537,Andhra Pradesh,Narsaraopet(14),lost,356,( -807640),PASUPULETI PICHAIAH,National Nava Kranthi Party
1538,Andhra Pradesh,Narsaraopet(14),lost,332,( -807664),PAPPULA SAMBASIVA RAO,Navarang Congress Party
1539,Andhra Pradesh,Narsaraopet(14),lost,309,( -807687),DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party
1540,Andhra Pradesh,Narsaraopet(14),lost,285,( -807711),THOKALA NAGA RAJU,All India Forward Bloc
1541,Andhra Pradesh,Narsaraopet(14),,11199,( -796797),NOTA,None of the Above
1542,Andhra Pradesh,Guntur(13),won,864948,(+ 344695),DR CHANDRA SEKHAR PEMMASANI,Telugu Desam
1543,Andhra Pradesh,Guntur(13),lost,520253,( -344695),KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party
1544,Andhra Pradesh,Guntur(13),lost,8637,( -856311),JANGALA AJAY KUMAR,Communist Party of India
1545,Andhra Pradesh,Guntur(13),lost,5629,( -859319),SIVAREDDY. ENDREDDY,Navataram Party
1546,Andhra Pradesh,Guntur(13),lost,4272,( -860676),TENALI PRAKASH,Bahujan Samaj Party
1547,Andhra Pradesh,Guntur(13),lost,1964,( -862984),SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party
1548,Andhra Pradesh,Guntur(13),lost,1753,( -863195),SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party
1549,Andhra Pradesh,Guntur(13),lost,1275,( -863673),UMAR BHASHA SHAIK,Jana Sahayaka Sakthi
1550,Andhra Pradesh,Guntur(13),lost,1222,( -863726),SYED. SAIDA,Navarang Congress Party
1551,Andhra Pradesh,Guntur(13),lost,1031,( -863917),AMBATI CHALAMAIAH,Pyramid Party of India
1552,Andhra Pradesh,Guntur(13),lost,692,( -864256),PILLI BABU RAO,Independent
1553,Andhra Pradesh,Guntur(13),lost,542,( -864406),HARI VENKATA SATISH  KURNALA,Jai Bharat National Party
1554,Andhra Pradesh,Guntur(13),lost,461,( -864487),VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party
1555,Andhra Pradesh,Guntur(13),lost,414,( -864534),EMANI. CHANDRASEKHAR RAO,Navodayam Party
1556,Andhra Pradesh,Guntur(13),lost,391,( -864557),SHAIK. KHAJAVALI,Independent
1557,Andhra Pradesh,Guntur(13),lost,378,( -864570),CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi
1558,Andhra Pradesh,Guntur(13),lost,375,( -864573),KANNEBOYINA VAMSI KRISHNA YADAV,Independent
1559,Andhra Pradesh,Guntur(13),lost,358,( -864590),MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi
1560,Andhra Pradesh,Guntur(13),lost,357,( -864591),GAYATRI AUDHIPUDI,Independent
1561,Andhra Pradesh,Guntur(13),lost,335,( -864613),SHAIK ASLAM AKTHER,Independent
1562,Andhra Pradesh,Guntur(13),lost,335,( -864613),ASHOK ANAND GALI,Independent
1563,Andhra Pradesh,Guntur(13),lost,332,( -864616),PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party
1564,Andhra Pradesh,Guntur(13),lost,316,( -864632),BURAGA RATNAM,Loktantrik Janta Dal
1565,Andhra Pradesh,Guntur(13),lost,312,( -864636),AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United)
1566,Andhra Pradesh,Guntur(13),lost,310,( -864638),DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule)
1567,Andhra Pradesh,Guntur(13),lost,268,( -864680),VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent
1568,Andhra Pradesh,Guntur(13),lost,266,( -864682),SIVA PARVATHI,Independent
1569,Andhra Pradesh,Guntur(13),lost,207,( -864741),BOMMASANI MUTYALA RAO,All Peoples Party
1570,Andhra Pradesh,Guntur(13),lost,179,( -864769),SRIKRISHNA AKKISETTI,Independent
1571,Andhra Pradesh,Guntur(13),lost,172,( -864776),MADAVARAPU NAGA RAJU,Independent
1572,Andhra Pradesh,Guntur(13),,7387,( -857561),NOTA,None of the Above
1573,Andhra Pradesh,Vijayawada(12),won,794154,(+ 282085),KESINENI SIVANATH (CHINNI),Telugu Desam
1574,Andhra Pradesh,Vijayawada(12),lost,512069,( -282085),KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party
1575,Andhra Pradesh,Vijayawada(12),lost,24106,( -770048),BHARGAV VALLURU,Indian National Congress
1576,Andhra Pradesh,Vijayawada(12),lost,7878,( -786276),KRISHNA KISHORE YANAMANDRA,Navataram Party
1577,Andhra Pradesh,Vijayawada(12),lost,6672,( -787482),VENKATA ASHOK PAPPURI,Independent
1578,Andhra Pradesh,Vijayawada(12),lost,3199,( -790955),DEVARAPALLI MALLIKARJUNA RAO (MAHESH),Independent
1579,Andhra Pradesh,Vijayawada(12),lost,2233,( -791921),MEKA VENKATESWARA RAO,Bahujan Samaj Party
1580,Andhra Pradesh,Vijayawada(12),lost,1240,( -792914),ANIL KUMAR MADDINENI,Independent
1581,Andhra Pradesh,Vijayawada(12),lost,615,( -793539),BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),Telugu Rajadhikara Samiti Party
1582,Andhra Pradesh,Vijayawada(12),lost,601,( -793553),SYED KHAMURUNNISA,Navarang Congress Party
1583,Andhra Pradesh,Vijayawada(12),lost,489,( -793665),CHAGANTIPATI GANGADHAR GANDHI,Pyramid Party of India
1584,Andhra Pradesh,Vijayawada(12),lost,417,( -793737),DATLA LURTHU MERI,Jaibhim Rao Bharat Party
1585,Andhra Pradesh,Vijayawada(12),lost,368,( -793786),PERAM SIVA NAGESWARA RAO,Republican Party of India (Athawale)
1586,Andhra Pradesh,Vijayawada(12),lost,331,( -793823),DEVARASETTY RAVEENDRA BABU,Andhra Rastra Praja Samithi
1587,Andhra Pradesh,Vijayawada(12),lost,327,( -793827),GUJJULA LALITHA,Socialist Unity Centre Of India (COMMUNIST)
1588,Andhra Pradesh,Vijayawada(12),lost,269,( -793885),N DASARADHA RAMI REDDY,All India Jaihind Party
1589,Andhra Pradesh,Vijayawada(12),lost,244,( -793910),CHINTHALACHERUVU HEMALATHA,Jai Maha Bharath Party
1590,Andhra Pradesh,Vijayawada(12),,9193,( -784961),NOTA,None of the Above
1591,Andhra Pradesh,Eluru(10),won,746351,(+ 181857),PUTTA MAHESH KUMAR,Telugu Desam
1592,Andhra Pradesh,Eluru(10),lost,564494,( -181857),KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party
1593,Andhra Pradesh,Eluru(10),lost,20826,( -725525),KAVURI LAVANYA,Indian National Congress
1594,Andhra Pradesh,Eluru(10),lost,12210,( -734141),AJAY BABU BODA,Navarang Congress Party
1595,Andhra Pradesh,Eluru(10),lost,6732,( -739619),NITTA AKHILA DHARANI PAL,Bahujan Samaj Party
1596,Andhra Pradesh,Eluru(10),lost,2263,( -744088),BOKINALA KOTESWARA RAO,Independent
1597,Andhra Pradesh,Eluru(10),lost,1526,( -744825),RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi
1598,Andhra Pradesh,Eluru(10),lost,1180,( -745171),KANDAVALLI JEEVA DEVA DAYAKAR,Independent
1599,Andhra Pradesh,Eluru(10),lost,1004,( -745347),AGASTEEN KOMMINA,Independent
1600,Andhra Pradesh,Eluru(10),lost,786,( -745565),DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party
1601,Andhra Pradesh,Eluru(10),lost,732,( -745619),RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party
1602,Andhra Pradesh,Eluru(10),lost,715,( -745636),GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India
1603,Andhra Pradesh,Eluru(10),lost,715,( -745636),BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party
